threshold,precision,recall
0.4776048331221696,1.0,0.0008061265618702137
0.4325097712851135,1.0,0.0016122531237404273
0.43074408525356483,1.0,0.0024183796856106408
0.4264591499350835,1.0,0.0032245062474808546
0.417971484501459,1.0,0.004030632809351068
0.40311147061760805,1.0,0.0048367593712212815
0.37897705320828745,1.0,0.005642885933091495
0.3719229859987061,1.0,0.006449012494961709
0.3639961686064444,1.0,0.007255139056831923
0.3636043786347093,1.0,0.008061265618702136
0.36297066549744034,1.0,0.00886739218057235
0.34859447164423585,1.0,0.009673518742442563
0.3404048540123966,1.0,0.010479645304312777
0.3354017252027325,1.0,0.01128577186618299
0.3273538107634543,1.0,0.012091898428053204
0.32165013923201513,1.0,0.012898024989923419
0.3215694260758323,1.0,0.013704151551793631
0.309977956891414,1.0,0.014510278113663845
0.30654426759137937,1.0,0.015316404675534058
0.3009640652677844,1.0,0.016122531237404272
0.300157276278147,1.0,0.016928657799274487
0.29568375451329776,1.0,0.0177347843611447
0.29404128198453006,1.0,0.018540910923014912
0.29116978798730253,1.0,0.019347037484885126
0.2898383980164408,1.0,0.019750100765820233
0.2887430838092085,1.0,0.020556227327690448
0.28747461733944635,1.0,0.021362353889560662
0.28725908828821745,1.0,0.022168480451430876
0.2856648480587108,1.0,0.022974607013301087
0.28203824931674515,1.0,0.0237807335751713
0.2770549098471095,1.0,0.024586860137041516
0.27537464641015874,1.0,0.02539298669891173
0.2748264917372688,1.0,0.026199113260781944
0.2734687008458783,1.0,0.027005239822652155
0.2730933204955104,1.0,0.02781136638452237
0.2725200043519031,0.971830985915493,0.02781136638452237
0.2723724721375201,0.9726027397260274,0.028617492946392584
0.27179115226164663,0.9733333333333334,0.029423619508262798
0.27141604415374637,0.9605263157894737,0.029423619508262798
0.2697662295086248,0.9615384615384616,0.030229746070133012
0.26915301877163195,0.9625,0.031035872632003223
0.2675958827216733,0.9634146341463414,0.03184199919387344
0.2673348147826723,0.9642857142857143,0.032648125755743655
0.2656866171025996,0.9651162790697675,0.03345425231761386
0.265645496093507,0.9659090909090909,0.03426037887948408
0.2648236963302214,0.9666666666666667,0.03506650544135429
0.26430638073646434,0.967032967032967,0.0354695687222894
0.26420046197677033,0.967741935483871,0.036275695284159616
0.26365546318696276,0.9680851063829787,0.03667875856509472
0.26060953747804694,0.96875,0.037484885126964934
0.2588144918702583,0.9693877551020408,0.03829101168883515
0.25799121255958096,0.97,0.03909713825070536
0.25729539223464026,0.9705882352941176,0.03990326481257558
0.2569216308214716,0.9711538461538461,0.04070939137444579
0.255524876808584,0.9716981132075472,0.041515517936316
0.2525240626680561,0.9722222222222222,0.04232164449818621
0.252030323009983,0.9727272727272728,0.04312777106005643
0.24709795465343382,0.9553571428571429,0.04312777106005643
0.24495991666022465,0.956140350877193,0.04393389762192664
0.2439084478829561,0.9568965517241379,0.044740024183796856
0.2425411936901354,0.9576271186440678,0.04554615074566707
0.24206369936135533,0.9583333333333334,0.046352277307537285
0.24163766203369083,0.9590163934426229,0.0471584038694075
0.2413207049979448,0.9596774193548387,0.04796453043127771
0.24037037904384032,0.9603174603174603,0.04877065699314793
0.24017753473452066,0.9609375,0.049576783555018135
0.23477080401430653,0.9615384615384616,0.05038291011688835
0.23422265003004483,0.9621212121212122,0.051189036678758564
0.23185494548786725,0.9626865671641791,0.05199516324062878
0.23078461978460846,0.9632352941176471,0.05280128980249899
0.23004674561292002,0.9637681159420289,0.053607416364369206
0.22922676791651123,0.9642857142857143,0.05441354292623942
0.22853447745696576,0.9647887323943662,0.055219669488109635
0.22688655480441156,0.9652777777777778,0.05602579604997985
0.22478699442494876,0.9657534246575342,0.056831922611850064
0.22397397973365585,0.9662162162162162,0.05763804917372027
0.22140732957895157,0.9666666666666667,0.058444175735590485
0.22002680595314378,0.9539473684210527,0.058444175735590485
0.21956862762702659,0.9545454545454546,0.0592503022974607
0.21766368287075466,0.9551282051282052,0.060056428859330914
0.2156199779523317,0.9554140127388535,0.060459492140266025
0.21479506600290693,0.9559748427672956,0.06126561870213623
0.21467075634989452,0.9565217391304348,0.062071745264006446
0.2143854123305419,0.9570552147239264,0.06287787182587666
0.21345330752435984,0.9454545454545454,0.06287787182587666
0.2129584535420729,0.9461077844311377,0.06368399838774688
0.21249316804301704,0.9467455621301775,0.06449012494961709
0.2120641182628262,0.9473684210526315,0.06529625151148731
0.21129747012647251,0.9479768786127167,0.06610237807335752
0.21074743339187474,0.9485714285714286,0.06690850463522773
0.20984217274346842,0.9491525423728814,0.06771463119709795
0.20779320181211225,0.9497206703910615,0.06852075775896815
0.20578627614659856,0.9502762430939227,0.06932688432083838
0.20479777581927516,0.9508196721311475,0.07013301088270858
0.20405705478194655,0.9513513513513514,0.0709391374445788
0.2018102390803855,0.9518716577540107,0.07174526400644901
0.2015614214031659,0.9523809523809523,0.07255139056831923
0.2005453969800863,0.9528795811518325,0.07335751713018944
0.20046951920006728,0.9533678756476683,0.07416364369205965
0.1993525393834227,0.9538461538461539,0.07496977025392987
0.1990742305031192,0.9543147208121827,0.07577589681580008
0.19901752593508848,0.9547738693467337,0.0765820233776703
0.19892737248363485,0.9552238805970149,0.0773881499395405
0.198482056914387,0.9556650246305419,0.07819427650141073
0.19725140812133954,0.9560975609756097,0.07900040306328093
0.19713712217878815,0.9565217391304348,0.07980652962515115
0.1969525166245039,0.9569377990430622,0.08061265618702136
0.1959522719860408,0.957345971563981,0.08141878274889158
0.19593083300327785,0.9577464788732394,0.08222490931076179
0.19496391406688926,0.958139534883721,0.083031035872632
